id,name,code,sectorId,ringId,angleOff,trlValue,impact,horizon
T01,"IIoT, Industria 4.0/5.0 y modernización de SCADA",L01,D1,trial,-26,7,Medio,Corto (1-3 años)
T02,Mantenimiento predictivo con inteligencia artificial y aprendizaje automático,L02,D1,assess,-13,5,Medio,Medio (3-5 años)
T03,Automatización con PLC y comisionamiento de Sistemas Instrumentados de Seguridad (SIS),L03,D1,adopt,0,9,Medio,Corto (1-2 años)
T04,"Edge AI, sistemas en chip (SoC), sensórica MEMS/NEMS y visión artificial industrial",L04,D1,assess,13,5,Medio,Medio (3-5 años)
T05,"Robótica industrial, drones autónomos y robots humanoides emergentes",L05,D1,trial,26,7,Medio,Corto (1-3 años)
T06,Semiconductores avanzados: arquitecturas abiertas (RISC-V) y empaquetado avanzado,L06,D2,monitor,-26,2,Medio,Largo (5-10 años)
T07,"Fabricación avanzada de PCB, diseño electrónico asistido (EDA) y empaquetado de semiconductores",L07,D2,trial,-13,7,Medio,Corto (1-3 años)
T08,Computación neuromórfica y arquitecturas de ultra-bajo consumo para IA de borde,L08,D2,monitor,0,2,Medio,Largo (5-10 años)
T09,Empaquetado post-silicio: sustratos de vidrio y fotónica de silicio,L09,D2,monitor,13,2,Medio,Largo (5-10 años)
T10,"Sensórica cuántica aplicada a IoT agroindustrial, de salud y ambiental",L10,D2,monitor,26,2,Medio,Largo (5-10 años)
T11,"Redes inteligentes, sistemas de gestión de batería (BMS) y electromovilidad",L11,D3,trial,-26,7,Medio,Corto (1-3 años)
T12,Instrumentación electrónica de control de procesos industriales y cadena de frío,L12,D3,adopt,-13,9,Medio,Corto (1-2 años)
T13,Semiconductores de potencia de banda ancha prohibida (GaN y SiC),L13,D3,trial,0,7,Alto,Corto (1-3 años)
T14,Baterías de estado sólido y almacenamiento energético de próxima generación,L14,D3,assess,13,5,Medio,Medio (3-5 años)
T15,Refrigerantes de próxima generación y calendario regulatorio ambiental,L15,D3,adopt,26,9,Medio,Corto (1-2 años)
T16,Electrónica biomédica y monitoreo wearable de salud,L16,D4,assess,-26,5,Medio,Medio (3-5 años)
T17,"Aviónica embebida, radar y sistemas aeroespaciales/no tripulados",L17,D4,assess,-13,5,Medio,Medio (3-5 años)
T18,Sistemas de radar distribuido y enjambres de drones ante obsolescencia del radar centralizado,L18,D4,monitor,0,2,Medio,Largo (5-10 años)
T19,"Electrónica automotriz avanzada: arquitecturas centralizadas/zonales, ADAS y navegación",L19,D4,trial,13,7,Disruptivo,Corto (1-3 años)
T20,Radar automotriz de terahercios de próxima generación,L20,D4,monitor,26,2,Medio,Largo (5-10 años)
T21,"Electrónica de consumo conectada: fuentes de alimentación eficientes, conectividad integrada y electrodomésticos inteligentes",L21,D5,adopt,-26,9,Medio,Corto (1-2 años)
T22,Electrónica de entretenimiento y contenido digital: GPUs y pantallas de próxima generación,L22,D5,adopt,-13,9,Medio,Corto (1-2 años)
T23,Renderizado gráfico neuronal e IA generativa aplicada a gráficos,L23,D5,monitor,0,2,Medio,Largo (5-10 años)
T24,Ciberseguridad por diseño y actualización remota (OTA) de dispositivos de consumo conectados,L24,D5,adopt,13,8,Alto,Corto (1-2 años)
T25,Sostenibilidad y economía circular en electrónica de consumo (ecodiseño y reparabilidad),L25,D5,adopt,26,9,Alto,Corto (1-2 años)
